Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"NPRD Number of Persons Usually Resident in Dwelling"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"NPRD Number of Persons Usually Resident in Dwelling",
"One person",2370742,
"Two persons",3109025,
"Three persons",1473857,
"Four persons",1430790,
"Six persons",199002,
"Seven persons",61493,
"Five persons",588393,
"Eight or more persons",41906,
"Not applicable",1600030,
"Total",10875248,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
