Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGEP Age and 2-digit level HEAP Level of Highest Educational Attainment"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"AGEP Age","2-digit level HEAP Level of Highest Educational Attainment",
"18","10",0,
,"11",4,
,"12",6,
,"20",0,
,"21",66,
,"22",28,
,"31",259,
,"40",31,
,"41",199,
,"42",2325,
,"51",23056,
,"61",233046,
,"72",105,
,"81",4716,
,"90",2976,
,"91",293,
,"&&",17456,
,"@@",0,
"19","10",0,
,"11",0,
,"12",7,
,"20",3,
,"21",236,
,"22",38,
,"31",626,
,"40",89,
,"41",412,
,"42",6247,
,"51",30825,
,"61",220387,
,"72",118,
,"81",4199,
,"90",3721,
,"91",336,
,"&&",18995,
,"@@",0,
"20","10",0,
,"11",7,
,"12",29,
,"20",0,
,"21",530,
,"22",41,
,"31",3172,
,"40",166,
,"41",1341,
,"42",11328,
,"51",38554,
,"61",216002,
,"72",111,
,"81",4044,
,"90",4443,
,"91",541,
,"&&",21063,
,"@@",0,
"21","10",0,
,"11",11,
,"12",153,
,"20",8,
,"21",906,
,"22",70,
,"31",22955,
,"40",220,
,"41",2854,
,"42",16398,
,"51",45902,
,"61",191742,
,"72",103,
,"81",3848,
,"90",4771,
,"91",699,
,"&&",22008,
,"@@",0,
"22","10",18,
,"11",34,
,"12",1142,
,"20",17,
,"21",1363,
,"22",210,
,"31",53398,
,"40",300,
,"41",3549,
,"42",18841,
,"51",52180,
,"61",151705,
,"72",135,
,"81",3923,
,"90",4820,
,"91",703,
,"&&",22184,
,"@@",0,
"23","10",48,
,"11",125,
,"12",5389,
,"20",87,
,"21",2038,
,"22",463,
,"31",79205,
,"40",323,
,"41",4041,
,"42",19779,
,"51",55274,
,"61",120023,
,"72",148,
,"81",3989,
,"90",4805,
,"91",867,
,"&&",23326,
,"@@",0,
"24","10",113,
,"11",280,
,"12",13012,
,"20",242,
,"21",2874,
,"22",748,
,"31",94324,
,"40",405,
,"41",4273,
,"42",20772,
,"51",57815,
,"61",101209,
,"72",127,
,"81",4069,
,"90",4984,
,"91",910,
,"&&",24894,
,"@@",0,
"25","10",191,
,"11",621,
,"12",21488,
,"20",384,
,"21",3794,
,"22",1094,
,"31",98501,
,"40",500,
,"41",4717,
,"42",21623,
,"51",60047,
,"61",90685,
,"72",166,
,"81",4293,
,"90",5214,
,"91",1174,
,"&&",26585,
,"@@",0,
"26","10",299,
,"11",1076,
,"12",27981,
,"20",553,
,"21",4558,
,"22",1383,
,"31",100229,
,"40",506,
,"41",5045,
,"42",22820,
,"51",63862,
,"61",85435,
,"72",215,
,"81",4612,
,"90",5406,
,"91",1334,
,"&&",27989,
,"@@",0,
"27","10",362,
,"11",1513,
,"12",32099,
,"20",609,
,"21",5071,
,"22",1745,
,"31",99378,
,"40",498,
,"41",5480,
,"42",23685,
,"51",65202,
,"61",79598,
,"72",244,
,"81",5008,
,"90",5512,
,"91",1408,
,"&&",28166,
,"@@",0,
"28","10",366,
,"11",1979,
,"12",34409,
,"20",736,
,"21",5582,
,"22",2025,
,"31",98748,
,"40",540,
,"41",5913,
,"42",24107,
,"51",67368,
,"61",76022,
,"72",252,
,"81",5376,
,"90",5747,
,"91",1537,
,"&&",28515,
,"@@",0,
"29","10",442,
,"11",2463,
,"12",36404,
,"20",765,
,"21",6019,
,"22",2135,
,"31",98545,
,"40",545,
,"41",6260,
,"42",25207,
,"51",68861,
,"61",72945,
,"72",232,
,"81",5640,
,"90",5842,
,"91",1479,
,"&&",28716,
,"@@",0,
"30","10",507,
,"11",2930,
,"12",37251,
,"20",837,
,"21",6502,
,"22",2308,
,"31",100093,
,"40",548,
,"41",7037,
,"42",26754,
,"51",69979,
,"61",72945,
,"72",229,
,"81",5804,
,"90",6015,
,"91",1750,
,"&&",30509,
,"@@",0,
"31","10",484,
,"11",3556,
,"12",38372,
,"20",925,
,"21",7160,
,"22",2411,
,"31",100578,
,"40",564,
,"41",7674,
,"42",28286,
,"51",70203,
,"61",71915,
,"72",251,
,"81",6164,
,"90",6374,
,"91",1729,
,"&&",27968,
,"@@",0,
"32","10",508,
,"11",3850,
,"12",37535,
,"20",984,
,"21",7108,
,"22",2495,
,"31",99718,
,"40",614,
,"41",8338,
,"42",29027,
,"51",69312,
,"61",69022,
,"72",253,
,"81",6073,
,"90",6326,
,"91",1732,
,"&&",27390,
,"@@",0,
"33","10",535,
,"11",4117,
,"12",37106,
,"20",989,
,"21",7240,
,"22",2577,
,"31",99117,
,"40",618,
,"41",9153,
,"42",29779,
,"51",68456,
,"61",66968,
,"72",229,
,"81",6338,
,"90",6551,
,"91",1785,
,"&&",26594,
,"@@",0,
"34","10",531,
,"11",4411,
,"12",37858,
,"20",1153,
,"21",7400,
,"22",2614,
,"31",96830,
,"40",725,
,"41",9582,
,"42",30701,
,"51",68932,
,"61",65631,
,"72",249,
,"81",6458,
,"90",6601,
,"91",1809,
,"&&",26567,
,"@@",0,
"35","10",565,
,"11",4814,
,"12",37747,
,"20",1165,
,"21",7460,
,"22",2763,
,"31",97267,
,"40",708,
,"41",10000,
,"42",31040,
,"51",68708,
,"61",66308,
,"72",216,
,"81",6774,
,"90",7019,
,"91",1919,
,"&&",27507,
,"@@",0,
"36","10",520,
,"11",5042,
,"12",38434,
,"20",1223,
,"21",7529,
,"22",2820,
,"31",97897,
,"40",730,
,"41",10096,
,"42",31562,
,"51",67384,
,"61",65300,
,"72",244,
,"81",7134,
,"90",7126,
,"91",1932,
,"&&",26427,
,"@@",0,
"37","10",556,
,"11",5074,
,"12",38162,
,"20",1329,
,"21",7470,
,"22",2714,
,"31",97694,
,"40",780,
,"41",9896,
,"42",31357,
,"51",65720,
,"61",64432,
,"72",231,
,"81",7164,
,"90",7369,
,"91",1794,
,"&&",26224,
,"@@",0,
"38","10",567,
,"11",5167,
,"12",38613,
,"20",1292,
,"21",7597,
,"22",2864,
,"31",96630,
,"40",800,
,"41",9725,
,"42",31213,
,"51",65725,
,"61",65525,
,"72",271,
,"81",7560,
,"90",7539,
,"91",1924,
,"&&",26448,
,"@@",0,
"39","10",579,
,"11",5297,
,"12",37320,
,"20",1256,
,"21",7544,
,"22",2800,
