Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"HIND Total Household Income (weekly)",
"Negative income",35381,
"Nil income",135890,
"$1-$149 ($1-$7,799)",61662,
"$150-$299 ($7,800-$15,599)",115443,
"$300-$399 ($15,600-$20,799)",207226,
"$400-$499 ($20,800-$25,999)",518470,
"$500-$649 ($26,000-$33,799)",383480,
"$650-$799 ($33,800-$41,599)",545103,
"$800-$999 ($41,600-$51,999)",559265,
"$1,000-$1,249 ($52,000-$64,999)",648253,
"$1,250-$1,499 ($65,000-$77,999)",667360,
"$1,500-$1,749 ($78,000-$90,999)",524764,
"$1,750-$1,999 ($91,000-$103,999)",513161,
"$2,000-$2,499 ($104,000-$129,999)",1058659,
"$2,500-$2,999 ($130,000-$155,999)",667535,
"$3,000-$3,499 ($156,000-$181,999)",588910,
"$3,500-$3,999 ($182,000-$207,999)",366591,
"$4,000-$4,499 ($208,000-$233,999)",206641,
"$4,500-$4,999 ($234,000-$259,999)",383541,
"$6,000-$7,999 ($312,000-$415,999)",229548,
"$5,000-$5,999 ($260,000-$311,999)",262326,
"$8,000 or more ($416,000 or more)",88070,
"Partial income stated",481636,
"All incomes not stated",187188,
"Not applicable",1439142,
"Total",10875248,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
